City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Rubizhne,UA,49.0123,38.3797,66.72,57,100,4.7,overcast clouds
80,Hasaki,JP,35.7333,140.8333,68.4,65,100,11.12,light rain
81,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,65,5.99,broken clouds
82,Antalaha,MG,-14.9003,50.2788,66.22,82,0,8.25,clear sky
83,Atar,MR,20.5169,-13.0499,96.3,20,26,12.17,scattered clouds
84,Saint George,US,37.1041,-113.5841,86.79,31,41,1.99,scattered clouds
85,Cap Malheureux,MU,-19.9842,57.6142,69.48,70,1,3.0,clear sky
86,Paamiut,GL,61.994,-49.6678,40.46,81,100,21.23,overcast clouds
87,Portland,US,45.5234,-122.6762,65.61,91,100,1.99,overcast clouds
88,Zeya,RU,53.75,127.2667,25.93,98,32,3.47,scattered clouds
89,Vardo,NO,70.3705,31.1107,44.58,93,0,4.61,clear sky
90,Larap,PH,14.299,122.6504,76.98,92,100,4.68,overcast clouds
91,Atuona,PF,-9.8,-139.0333,76.66,66,39,20.8,scattered clouds
92,Mitsamiouli,KM,-11.3847,43.2844,75.72,72,23,2.19,few clouds
93,Codrington,AU,-38.2667,141.9667,45.32,95,97,7.2,overcast clouds
94,Cape Town,ZA,-33.9258,18.4232,62.1,85,20,12.66,few clouds
95,Belyy Yar,RU,53.6039,91.3903,33.69,69,0,11.18,clear sky
96,Port Augusta,AU,-32.5,137.7667,48.83,74,6,4.99,clear sky
97,Bahia Honda,CU,22.9036,-83.1592,80.98,75,88,12.73,overcast clouds
98,Tiksi,RU,71.6872,128.8694,19.92,93,100,5.32,overcast clouds
99,Hithadhoo,MV,-0.6,73.0833,81.97,74,100,11.27,overcast clouds
100,North Bend,US,43.4065,-124.2243,65.91,95,54,4.72,broken clouds
101,Kharitonovo,RU,61.4009,47.4978,33.8,97,100,9.91,snow
102,Saint-Joseph,RE,-21.3667,55.6167,72.46,81,17,9.73,light rain
103,Rajgarh,IN,28.6333,75.3833,83.82,51,0,6.93,clear sky
104,Cherskiy,RU,68.75,161.3,24.1,63,0,5.08,clear sky
105,Hilo,US,19.7297,-155.09,86.29,87,40,1.99,scattered clouds
106,Rokytne,UA,51.2796,27.214,52.0,96,100,5.01,overcast clouds
107,Haimen,CN,23.1935,116.6142,77.99,89,99,7.49,overcast clouds
108,Saldanha,ZA,-33.0117,17.9442,59.05,86,100,17.63,overcast clouds
109,Torbay,CA,47.6666,-52.7314,61.75,89,100,1.01,overcast clouds
110,Zyryanovsk,KZ,49.7386,84.2719,27.05,71,94,0.56,overcast clouds
111,Egvekinot,RU,66.3167,-179.1667,20.93,79,16,3.98,few clouds
112,Oyama,JP,36.3,139.8,68.94,71,95,6.58,overcast clouds
113,Shetpe,KZ,44.1667,52.1167,69.3,32,61,1.14,broken clouds
114,Ponta Delgada,PT,37.7333,-25.6667,74.5,60,75,4.61,broken clouds
115,Zverinogolovskoye,RU,54.4586,64.8542,28.36,64,7,6.71,clear sky
116,Antigonish,CA,45.6169,-61.9986,65.14,79,97,11.95,overcast clouds
117,Kodiak,US,57.79,-152.4072,51.31,76,100,11.5,overcast clouds
118,Bataipora,BR,-22.2953,-53.2711,71.69,74,100,5.28,overcast clouds
119,Rawson,AR,-43.3002,-65.1023,75.69,28,0,26.51,clear sky
120,Yunhe,CN,34.0833,119.7167,61.68,94,14,6.02,few clouds
121,Katsuura,JP,35.1333,140.3,68.02,85,100,14.76,overcast clouds
122,Isangel,VU,-19.55,169.2667,74.23,75,100,10.22,overcast clouds
123,Chokurdakh,RU,70.6333,147.9167,21.78,91,85,3.96,overcast clouds
124,North Myrtle Beach,US,33.816,-78.68,66.38,79,100,8.01,overcast clouds
125,Ugoofaaru,MV,5.6667,73.0,80.91,75,96,10.51,overcast clouds
126,Aragats,AM,40.4889,44.3528,63.97,40,0,5.37,clear sky
127,Sun City West,US,33.662,-112.3413,97.93,21,40,6.91,scattered clouds
128,Faya,SA,18.3851,42.4509,67.3,27,6,5.23,clear sky
129,Slyudyanka,RU,51.6594,103.7061,43.18,93,74,2.62,broken clouds
130,East London,ZA,-33.0153,27.9116,65.39,92,100,16.51,moderate rain
131,Camacha,PT,33.0833,-16.3333,69.22,60,40,13.8,scattered clouds
132,Port Elizabeth,ZA,-33.918,25.5701,62.31,95,0,3.44,clear sky
133,Rantepao,ID,-2.9701,119.8978,65.41,96,15,2.46,few clouds
134,Provideniya,RU,64.3833,-173.3,34.75,75,4,7.7,clear sky
135,Yulara,AU,-25.2406,130.9889,64.29,25,100,13.65,overcast clouds
136,Chapais,CA,49.7834,-74.8492,47.16,53,100,8.52,overcast clouds
137,Gobabis,NA,-22.45,18.9667,74.57,21,6,12.95,clear sky
138,Bluff,NZ,-46.6,168.3333,42.8,58,66,7.61,broken clouds
139,Khanpur,PK,28.6453,70.6567,86.41,27,0,9.37,clear sky
140,Shieli,KZ,44.1667,66.75,55.13,26,100,16.71,overcast clouds
141,Jingdezhen,CN,29.2947,117.2079,73.06,83,29,3.33,scattered clouds
142,Merauke,ID,-8.4667,140.3333,77.88,88,94,8.59,overcast clouds
143,Boa Vista,BR,2.8197,-60.6733,93.18,40,40,5.75,scattered clouds
144,Nikolskoye,RU,59.7035,30.7861,46.8,96,100,4.83,overcast clouds
145,Lazaro Cardenas,MX,17.9583,-102.2,85.46,66,13,3.49,few clouds
146,Lask,PL,51.5906,19.1328,42.89,52,100,3.89,overcast clouds
147,Broome,US,42.2506,-75.833,59.7,62,75,12.66,broken clouds
148,Tasiilaq,GL,65.6145,-37.6368,33.67,89,100,6.08,overcast clouds
149,Lensk,RU,60.7253,114.9278,25.09,84,19,1.79,few clouds
150,Lasa,IT,46.6166,10.7002,47.7,95,100,3.42,overcast clouds
151,Clearlake,US,38.9582,-122.6264,80.35,40,0,2.66,clear sky
152,Bilma,NE,18.6853,12.9164,95.32,17,100,8.93,overcast clouds
153,Yarada,IN,17.65,83.2667,82.17,78,100,4.59,overcast clouds
154,Vao,NC,-22.6667,167.4833,74.23,78,100,16.84,light rain
155,Saint-Pierre,RE,-21.3393,55.4781,73.56,73,75,12.66,broken clouds
156,Tashtagol,RU,52.7657,87.8894,25.65,97,100,4.68,light snow
157,Byron Bay,AU,-28.65,153.6167,56.95,84,39,12.26,scattered clouds
158,Saint Anthony,US,45.0205,-93.218,69.66,38,0,14.97,clear sky
159,Mersing,MY,2.4312,103.8405,77.47,90,99,3.27,overcast clouds
160,Sinop,TR,41.7711,34.8709,63.32,66,0,5.44,clear sky
161,Shimoda,JP,34.6667,138.95,66.11,88,100,14.79,overcast clouds
162,Bengkulu,ID,-3.8004,102.2655,74.68,91,96,5.19,overcast clouds
163,Zyryanka,RU,65.75,150.85,26.98,67,100,15.08,overcast clouds
164,Cuauhtemoc,MX,28.4167,-106.8667,66.72,42,32,14.81,scattered clouds
165,Fortuna,US,40.5982,-124.1573,69.93,74,0,7.0,clear sky
166,Vidyayevo,RU,69.3191,32.8049,36.68,60,0,6.62,clear sky
167,Ribeira Grande,PT,38.5167,-28.7,70.2,60,75,9.22,broken clouds
168,Kuala Terengganu,MY,5.3302,103.1408,76.46,90,100,2.68,moderate rain
169,Mandalgovi,MN,45.7625,106.2708,42.48,70,100,11.56,overcast clouds
170,San Cristobal,VE,7.7669,-72.225,84.38,46,75,3.85,broken clouds
171,Ahipara,NZ,-35.1667,173.1667,61.16,97,100,7.43,overcast clouds
172,Kita,ML,13.0349,-9.4895,80.91,69,100,4.45,overcast clouds
173,Souillac,MU,-20.5167,57.5167,70.18,78,40,10.36,scattered clouds
174,Palmer,US,42.1584,-72.3287,67.24,54,40,10.36,scattered clouds
175,Bagado,CO,5.4116,-76.4152,81.7,85,100,3.36,overcast clouds
176,Salalah,OM,17.0151,54.0924,79.75,81,96,5.99,overcast clouds
177,Dicabisagan,PH,17.0818,122.4157,78.28,87,96,1.77,overcast clouds
178,Nuuk,GL,64.1835,-51.7216,38.01,93,100,8.05,overcast clouds
179,Tucupita,VE,9.0622,-62.051,86.23,71,100,3.4,overcast clouds
180,Stokmarknes,NO,68.5646,14.9108,49.96,76,0,4.61,clear sky
181,Mahebourg,MU,-20.4081,57.7,70.09,78,40,10.36,scattered clouds
182,Kindu,CD,-2.95,25.95,72.36,84,100,1.95,light rain
183,Henties Bay,NA,-22.116,14.2845,56.32,93,24,4.63,few clouds
184,Adrar,MR,20.5022,-10.0711,96.13,17,6,15.03,clear sky
185,Porto Santo,PT,33.072,-16.3415,71.98,60,40,13.8,scattered clouds
186,Chibombo,ZM,-14.6569,28.0706,73.18,31,1,10.71,clear sky
187,Itarema,BR,-2.9248,-39.9167,82.49,66,22,18.25,few clouds
188,La Ronge,CA,55.1001,-105.2842,60.73,70,100,9.08,overcast clouds
189,Nanortalik,GL,60.1432,-45.2371,40.98,96,83,13.24,broken clouds
190,Vanavara,RU,60.34,102.2797,24.39,85,25,4.63,scattered clouds
191,Port Lincoln,AU,-34.7333,135.8667,52.12,86,100,10.92,overcast clouds
192,Beyneu,KZ,45.3167,55.2,62.76,46,99,19.86,overcast clouds
193,Bandarbeyla,SO,9.4942,50.8122,77.76,85,28,24.54,scattered clouds
194,Oum Hadjer,TD,13.2954,19.6966,82.85,52,13,5.75,few clouds
195,Lagoa,PT,39.05,-27.9833,67.41,63,6,6.04,clear sky
196,Farafangana,MG,-22.8167,47.8333,66.97,74,0,5.99,clear sky
197,Hambantota,LK,6.1241,81.1185,79.14,94,20,6.91,few clouds
198,Manaure,CO,11.7751,-72.4445,84.72,69,92,10.04,overcast clouds
199,Iqaluit,CA,63.7506,-68.5145,31.73,86,100,15.01,light snow
200,Bethel,US,41.3712,-73.414,66.88,62,8,4.0,clear sky
201,Wadi Maliz,TN,36.4681,8.5495,71.96,46,5,3.53,clear sky
202,Parung,ID,-6.4214,106.7331,80.56,84,100,3.62,overcast clouds
203,Koppal,IN,15.35,76.15,71.31,96,100,10.69,moderate rain
204,Acapulco,MX,16.8634,-99.8901,85.82,70,40,6.91,scattered clouds
205,Port Hardy,CA,50.6996,-127.4199,55.58,100,100,5.75,fog
206,Georgetown,MY,5.4112,100.3354,80.89,87,20,0.0,thunderstorm
207,Alofi,NU,-19.0595,-169.9187,71.49,78,3,9.22,clear sky
208,Cabo San Lucas,MX,22.8909,-109.9124,89.91,62,20,12.66,few clouds
209,Quinabigan,PH,12.9936,121.4781,76.57,88,100,3.49,very heavy rain
210,Lebu,CL,-37.6167,-73.65,54.59,78,100,14.18,overcast clouds
211,Yerbogachen,RU,61.2767,108.0108,23.72,79,11,2.93,few clouds
212,Sicuani,PE,-14.2694,-71.2261,66.4,16,76,12.01,broken clouds
213,Whitehorse,CA,60.7161,-135.0538,50.81,76,100,24.0,overcast clouds
214,Bukachacha,RU,52.9833,116.9167,25.66,96,100,1.68,overcast clouds
215,Mandera,KE,3.9366,41.867,84.92,42,100,18.12,overcast clouds
216,Richards Bay,ZA,-28.783,32.0377,70.95,88,0,10.47,clear sky
217,Kapit,MY,2.0167,112.9333,74.95,100,100,2.01,overcast clouds
218,Havelock,US,34.8791,-76.9013,69.94,71,100,23.02,overcast clouds
219,Namatanai,PG,-3.6667,152.4333,77.61,75,92,9.78,overcast clouds
220,Nome,US,64.5011,-165.4064,41.16,94,100,8.79,light rain
221,Karakol,KG,42.4907,78.3936,51.13,42,100,3.44,overcast clouds
222,Lethem,GY,3.3803,-59.7968,84.45,67,100,5.08,overcast clouds
223,Vargashi,RU,55.3556,65.8467,26.47,77,2,3.53,clear sky
224,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,36,8.99,light rain
225,Hurghada,EG,27.2574,33.8129,86.27,43,0,7.14,clear sky
226,Aklavik,CA,68.2191,-135.0107,32.47,93,41,9.19,scattered clouds
227,Bodden Town,KY,19.2833,-81.25,88.0,70,40,9.22,scattered clouds
228,Urusha,RU,54.05,122.9,15.66,99,72,2.91,broken clouds
229,Riom,FR,45.9167,2.9167,45.25,80,100,3.06,overcast clouds
230,Manali,IN,13.1667,80.2667,84.29,63,100,6.73,overcast clouds
231,Kudahuvadhoo,MV,2.6708,72.8944,78.78,82,100,21.41,overcast clouds
232,Kurchum,KZ,48.5722,83.6542,31.32,54,1,10.42,clear sky
233,Severo-Kurilsk,RU,50.6789,156.125,46.8,76,52,30.78,broken clouds
234,Atambua,ID,-9.1061,124.8925,74.84,86,89,1.77,overcast clouds
235,Banda Aceh,ID,5.5577,95.3222,77.11,89,100,15.35,moderate rain
236,Partapur,IN,23.6,74.1667,78.48,77,3,1.12,clear sky
237,Ilulissat,GL,69.2167,-51.1,37.42,87,75,2.3,broken clouds
238,Piacabucu,BR,-10.4056,-36.4344,78.8,65,12,9.6,few clouds
239,The Valley,AI,18.217,-63.0578,82.54,78,40,11.5,scattered clouds
240,Prince Rupert,CA,54.3161,-130.3201,61.57,79,77,2.08,broken clouds
241,Bethanien,NA,-26.502,17.1583,78.22,16,98,7.18,overcast clouds
242,San Quintin,MX,30.4833,-115.95,76.6,68,5,8.66,clear sky
243,Viedma,AR,-40.8135,-62.9967,74.98,23,0,19.19,clear sky
244,Maumere,ID,-8.6199,122.2111,79.54,83,100,4.97,overcast clouds
245,Rameswaram,IN,9.2833,79.3,81.66,84,100,25.39,overcast clouds
246,Chikwawa,MW,-16.0335,34.8009,79.29,35,2,4.0,clear sky
247,Kutum,SD,14.2,24.6667,79.29,42,58,13.02,broken clouds
248,Dakar,SN,14.6937,-17.4441,83.28,80,93,10.65,overcast clouds
249,Porto Murtinho,BR,-21.6989,-57.8825,62.47,96,100,5.84,overcast clouds
250,Wageningen,NL,51.9667,5.6667,51.94,92,98,2.3,overcast clouds
251,Maragogi,BR,-9.0122,-35.2225,78.4,69,89,8.99,overcast clouds
252,Nieuw Nickerie,SR,5.95,-56.9833,84.16,71,100,11.86,overcast clouds
253,Sovetsk,RU,55.0839,21.8785,45.88,92,14,7.45,few clouds
254,Nelson Bay,AU,-32.7167,152.15,62.11,91,98,18.99,light rain
255,Sanica,BA,44.6142,16.6411,59.07,84,76,6.04,broken clouds
256,Khatanga,RU,71.9667,102.5,27.88,94,100,4.05,overcast clouds
257,Talen,IN,23.5667,76.7167,75.61,80,88,2.8,overcast clouds
258,Tabas,IR,33.5959,56.9244,82.67,11,0,3.98,clear sky
259,Ajaccio,FR,42.0,8.9167,57.25,88,40,5.75,scattered clouds
260,Port-Cartier,CA,50.0334,-66.8654,57.74,44,45,6.46,scattered clouds
261,Ariquemes,BR,-9.9133,-63.0408,77.32,83,100,4.83,heavy intensity rain
262,Rio Gallegos,AR,-51.6226,-69.2181,57.25,47,75,13.8,broken clouds
263,Nioro,GM,13.35,-15.75,80.78,84,99,7.23,overcast clouds
264,Edinburg,GB,55.9521,-3.1965,54.48,91,100,3.42,overcast clouds
265,Tautira,PF,-17.7333,-149.15,76.93,75,0,15.93,clear sky
266,Colac,AU,-38.3333,143.5833,51.17,79,86,10.38,overcast clouds
267,Burnie,AU,-41.0667,145.9167,45.95,60,99,12.37,overcast clouds
268,Bambous Virieux,MU,-20.3428,57.7575,69.22,71,17,13.33,few clouds
269,Caravelas,BR,-17.7125,-39.2481,79.3,66,36,7.63,scattered clouds
270,Kiunga,PG,-6.1219,141.2906,72.0,100,91,1.28,overcast clouds
271,Atasu,KZ,48.6814,71.6433,29.86,39,9,8.84,clear sky
272,Varzea Grande,BR,-15.6467,-56.1325,78.67,69,75,11.5,broken clouds
273,Luganville,VU,-15.5333,167.1667,76.91,73,27,5.99,scattered clouds
274,Estevan,CA,49.1334,-102.9842,80.94,24,0,7.94,clear sky
275,Ibotirama,BR,-12.1853,-43.2206,97.9,14,7,7.34,clear sky
276,Kerrville,US,30.0474,-99.1403,90.55,26,0,3.44,clear sky
277,Yaan,NG,7.3833,8.5667,74.53,90,29,3.56,scattered clouds
278,Bowen,AU,-20.0167,148.2333,65.93,85,4,5.21,clear sky
279,Esperance,AU,-33.8667,121.9,51.04,86,0,11.63,clear sky
280,Barguzin,RU,53.6167,109.6167,33.96,88,54,4.94,broken clouds
281,Mareeba,AU,-17.0,145.4333,65.44,88,9,1.95,clear sky
282,Salinopolis,BR,-0.6136,-47.3561,83.46,70,42,14.58,scattered clouds
283,Lata,PT,40.1629,-8.3327,60.93,85,36,7.7,scattered clouds
284,Coos Bay,US,43.3665,-124.2179,65.98,93,100,9.22,mist
285,Santa Cecilia,BR,-26.9608,-50.4269,50.13,89,100,5.01,overcast clouds
286,Alenquer,BR,-1.9417,-54.7383,96.1,34,98,8.48,overcast clouds
287,Cidreira,BR,-30.1811,-50.2056,62.65,58,100,12.1,overcast clouds
288,Flinders,AU,-34.5833,150.8552,58.17,86,66,5.01,broken clouds
289,Along,IN,28.1667,94.7667,70.75,93,53,1.88,broken clouds
290,Coihaique,CL,-45.5752,-72.0662,59.61,58,75,8.05,broken clouds
291,Ondjiva,AO,-17.0667,15.7333,80.89,16,55,5.46,broken clouds
292,Surt,LY,31.2089,16.5887,78.69,77,99,12.46,overcast clouds
293,Olinda,BR,-8.0089,-34.8553,80.33,69,20,10.36,few clouds
294,Eina,NO,60.6295,10.5993,40.51,90,31,1.28,scattered clouds
295,Loa Janan,ID,-0.583,117.095,73.58,98,100,2.28,overcast clouds
296,Morlenbach,DE,49.5992,8.7347,54.43,84,97,1.01,overcast clouds
297,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,66,85,5.01,overcast clouds
298,Sao Felix Do Xingu,BR,-6.6447,-51.995,101.25,19,81,3.58,broken clouds
299,Las Vegas,US,36.175,-115.1372,93.61,32,0,6.91,clear sky
300,Methoni,GR,36.8197,21.7049,73.22,73,0,4.63,clear sky
301,Gazojak,TM,41.1875,61.4036,64.85,23,95,16.13,overcast clouds
302,Chimoio,MZ,-19.1164,33.4833,67.86,73,0,6.46,clear sky
303,Ankang,CN,32.68,109.0172,69.19,70,100,1.1,overcast clouds
304,Pilar,BR,-9.5972,-35.9567,80.53,62,89,9.71,overcast clouds
305,Lompoc,US,34.6391,-120.4579,88.02,71,16,5.01,few clouds
306,Coahuayana,MX,18.7333,-103.6833,87.69,64,63,4.29,broken clouds
307,Husavik,IS,66.0449,-17.3389,46.24,81,100,8.23,overcast clouds
308,Gigant,RU,46.5066,41.3419,66.38,61,23,3.22,few clouds
309,Narsaq,GL,60.9167,-46.05,44.82,82,96,1.1,overcast clouds
310,Naze,JP,28.3667,129.4833,74.43,80,8,8.57,clear sky
311,Shelburne,CA,44.0787,-80.2041,61.75,58,1,5.64,clear sky
312,Zhuhai,CN,22.2769,113.5678,80.85,89,40,14.97,light intensity shower rain
313,Marawi,PH,7.9986,124.2928,68.68,93,100,1.1,overcast clouds
314,Mount Pleasant,US,32.7941,-79.8626,66.34,72,100,21.85,overcast clouds
315,Luanda,AO,-8.8368,13.2343,72.84,86,79,2.95,light rain
316,Ndele,CF,8.4109,20.6473,71.08,94,100,1.95,overcast clouds
317,Maarianhamina,AX,60.0973,19.9348,42.66,93,40,3.44,scattered clouds
318,Kalyan,IN,19.25,73.15,82.35,91,42,1.01,scattered clouds
319,Alta Floresta,BR,-9.8756,-56.0861,92.93,30,99,4.29,overcast clouds
320,San Juan,AR,-31.5375,-68.5364,69.73,31,100,8.32,overcast clouds
321,Bac Lieu,VN,9.285,105.7244,78.6,86,97,8.61,moderate rain
322,Awbari,LY,26.5921,12.7805,91.6,13,55,6.22,broken clouds
323,Muncar,ID,-8.4333,114.3333,75.96,87,100,2.82,overcast clouds
324,Saint-Paul,RE,-21.0096,55.2707,73.99,99,2,2.35,clear sky
325,Bontang,ID,0.1333,117.5,77.16,86,100,7.18,overcast clouds
326,Talnakh,RU,69.4865,88.3972,31.21,98,99,4.32,overcast clouds
327,Clearwater,US,27.9659,-82.8001,75.94,66,40,32.99,scattered clouds
328,Foz,ES,43.5692,-7.2544,56.21,88,41,4.61,scattered clouds
329,Leningradskiy,RU,69.3833,178.4167,18.21,79,41,7.25,scattered clouds
330,Maamba,ZM,-17.3667,27.15,73.0,34,0,3.67,clear sky
331,Margate,GB,51.3813,1.3862,54.7,73,18,4.88,few clouds
332,Amursk,RU,50.2261,136.8994,47.12,87,100,6.15,overcast clouds
333,Tongchuan,CN,35.0806,109.0897,66.24,43,100,2.01,overcast clouds
334,Namibe,AO,-15.1961,12.1522,67.55,86,100,2.37,overcast clouds
335,Khasan,RU,42.4308,130.6434,58.64,88,0,4.38,clear sky
336,Galanta,SK,48.19,17.7275,57.97,85,100,6.08,overcast clouds
337,Lebyazhye,RU,55.2689,66.4947,26.53,78,0,2.39,clear sky
338,Ushtobe,KZ,45.2514,77.9838,41.09,47,100,13.44,overcast clouds
339,Klaksvik,FO,62.2266,-6.589,47.32,80,100,19.71,overcast clouds
340,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,3.44,broken clouds
341,Prokuplje,RS,43.2342,21.5881,58.28,83,0,4.25,clear sky
342,Tezu,IN,27.9167,96.1667,75.34,74,18,3.42,few clouds
343,Muleba,TZ,-1.8397,31.6544,70.77,65,44,5.37,scattered clouds
344,Ust-Charyshskaya Pristan,RU,52.3934,83.6635,28.83,82,99,10.22,overcast clouds
345,Winnetka,US,42.1081,-87.7359,65.75,60,0,4.61,clear sky
346,Faanui,PF,-16.4833,-151.75,78.28,74,19,17.94,few clouds
347,Muzhi,RU,65.3667,64.6667,31.5,64,100,4.47,overcast clouds
348,Portage,US,41.1667,-81.1998,57.61,39,100,4.61,overcast clouds
